,speed(RPM),max_torque
0,526,247.1168336
1,534,246.8290513
2,542,246.8290513
3,549,246.8290513
4,557,246.8290513
5,565,246.8290513
6,573,246.8290513
7,581,246.8290513
8,588,247.1168336
9,596,247.1168336
10,604,247.1168336
11,612,246.8290513
12,620,246.8290513
13,627,246.8290513
14,635,246.8290513
15,643,246.8290513
16,651,246.8290513
17,659,246.8290513
18,666,246.8290513
19,674,246.8290513
20,682,246.8290513
21,690,246.8290513
22,698,246.8290513
23,705,246.8290513
24,713,246.8290513
25,721,246.8290513
26,729,246.8290513
27,736,246.8290513
28,744,246.8290513
29,752,246.8290513
30,760,246.8290513
31,768,246.8290513
32,775,246.8290513
33,783,246.8290513
34,791,246.8290513
35,799,246.8290513
36,807,246.8290513
37,814,246.8290513
38,822,246.8290513
39,830,246.8290513
40,838,246.8290513
41,846,246.8290513
42,853,246.8290513
43,861,246.8290513
44,869,246.8290513
45,877,246.8290513
46,884,246.8290513
47,892,246.8290513
48,900,246.8290513
49,908,246.8290513
50,916,246.8290513
51,923,246.8290513
52,931,246.8290513
53,939,246.8290513
54,947,246.8290513
55,955,246.8290513
56,962,246.8290513
57,970,246.8290513
58,978,246.8290513
59,986,246.8290513
60,994,246.8290513
61,1001,246.8290513
62,1009,246.8290513
63,1017,246.8290513
64,1025,246.8290513
65,1032,246.8290513
66,1040,246.8290513
67,1048,246.8290513
68,1056,246.8290513
69,1064,246.8290513
70,1071,246.8290513
71,1079,246.8290513
72,1087,246.8290513
73,1095,246.8290513
74,1103,246.8290513
75,1110,246.8290513
76,1118,246.8290513
77,1126,246.8290513
78,1134,246.8290513
79,1141,246.8290513
80,1149,246.8290513
81,1157,246.8290513
82,1165,246.8290513
83,1173,246.8290513
84,1180,246.8290513
85,1188,246.8290513
86,1196,246.8290513
87,1204,246.8290513
88,1212,246.8290513
89,1219,246.8290513
90,1227,246.8290513
91,1235,246.8290513
92,1243,246.8290513
93,1250,246.8290513
94,1258,246.8290513
95,1266,246.8290513
96,1274,246.8290513
97,1282,246.8290513
98,1289,246.8290513
99,1297,246.8290513
100,1305,246.8290513
101,1313,246.8290513
102,1320,246.8290513
103,1328,246.8290513
104,1336,246.8290513
105,1344,246.8290513
106,1352,246.8290513
107,1359,246.8290513
108,1367,246.8290513
109,1375,246.8290513
110,1383,246.8290513
111,1390,246.8290513
112,1398,246.8290513
113,1406,246.8290513
114,1414,246.8290513
115,1422,246.8290513
116,1429,246.8290513
117,1437,246.8290513
118,1445,246.8290513
119,1453,246.8290513
120,1461,246.8290513
121,1468,246.8290513
122,1476,246.8290513
123,1484,246.8290513
124,1492,246.8290513
125,1499,246.8290513
126,1507,246.8290513
127,1515,246.8290513
128,1523,246.8290513
129,1531,246.8290513
130,1538,246.8290513
131,1546,246.8290513
132,1554,246.8290513
133,1562,246.8290513
134,1569,246.8290513
135,1577,246.8290513
136,1585,246.8290513
137,1593,246.8290513
138,1601,246.8290513
139,1608,246.8290513
140,1616,246.8290513
141,1624,246.8290513
142,1632,246.8290513
143,1639,246.8290513
144,1647,246.8290513
145,1655,246.8290513
146,1663,246.8290513
147,1671,246.8290513
148,1678,246.8290513
149,1686,246.8290513
150,1694,246.8290513
151,1702,246.8290513
152,1709,246.8290513
153,1717,246.8290513
154,1725,246.8290513
155,1733,246.8290513
156,1740,246.8290513
157,1748,246.8290513
158,1756,246.8290513
159,1764,246.8290513
160,1772,246.8290513
161,1779,246.8290513
162,1787,246.8290513
163,1795,246.8290513
164,1803,246.8290513
165,1810,246.8290513
166,1818,246.8290513
167,1826,246.8290513
168,1834,246.8290513
169,1842,246.8290513
170,1849,246.8290513
171,1857,246.8290513
172,1865,246.8290513
173,1873,246.8290513
174,1880,246.8290513
175,1888,246.8290513
176,1896,246.8290513
177,1904,246.8290513
178,1912,246.8290513
179,1919,246.8290513
180,1927,246.8290513
181,1935,246.8290513
182,1943,246.8290513
183,1950,246.8290513
184,1958,246.8290513
185,1966,246.8290513
186,1974,246.8290513
187,1981,246.8290513
188,1989,246.8290513
189,1997,246.8290513
190,2005,246.8290513
191,2013,246.8290513
192,2020,246.8290513
193,2028,246.8290513
194,2036,246.8290513
195,2044,246.8290513
196,2051,246.8290513
197,2059,246.8290513
198,2067,246.8290513
199,2075,246.8290513
200,2083,246.8290513
201,2090,246.8290513
202,2098,246.8290513
203,2106,246.8290513
204,2114,246.8290513
205,2121,246.8290513
206,2129,246.8290513
207,2137,246.8290513
208,2145,246.8290513
209,2152,246.8290513
210,2160,246.8290513
211,2168,246.8290513
212,2176,246.8290513
213,2184,246.8290513
214,2191,246.8290513
215,2199,246.8290513
216,2207,246.8290513
217,2215,246.8290513
218,2222,246.8290513
219,2230,246.8290513
220,2238,246.8290513
221,2246,246.8290513
222,2253,246.8290513
223,2261,246.8290513
224,2269,246.8290513
225,2277,246.8290513
226,2285,246.8290513
227,2292,246.8290513
228,2300,246.8290513
229,2308,246.8290513
230,2316,246.8290513
231,2323,246.8290513
232,2331,246.8290513
233,2339,246.8290513
234,2347,246.8290513
235,2354,246.8290513
236,2362,246.541364
237,2370,246.541364
238,2378,246.541364
239,2386,246.541364
240,2393,246.541364
241,2401,246.8290513
242,2409,246.8290513
243,2417,246.8290513
244,2424,246.8290513
245,2432,246.8290513
246,2440,246.8290513
247,2448,247.1168336
248,2455,247.1168336
249,2463,247.1168336
250,2471,247.1168336
251,2479,247.1168336
252,2486,247.1168336
253,2494,247.1168336
254,2502,247.1168336
255,2510,247.1168336
256,2518,247.1168336
257,2525,247.1168336
258,2533,246.8290513
259,2541,246.8290513
260,2549,246.8290513
261,2556,246.8290513
262,2564,246.8290513
263,2572,246.8290513
264,2580,246.8290513
265,2587,246.8290513
266,2595,246.8290513
267,2603,246.8290513
268,2611,246.8290513
269,2619,246.8290513
270,2626,246.8290513
271,2634,246.8290513
272,2642,246.8290513
273,2650,246.8290513
274,2657,246.8290513
275,2665,246.8290513
276,2673,246.8290513
277,2681,246.8290513
278,2688,246.8290513
279,2696,246.8290513
280,2704,246.8290513
281,2712,246.8290513
282,2719,246.8290513
283,2727,246.8290513
284,2735,246.8290513
285,2743,246.541364
286,2751,246.541364
287,2758,246.541364
288,2766,246.541364
289,2774,246.541364
290,2782,246.541364
291,2789,246.541364
292,2797,246.541364
293,2805,246.541364
294,2813,246.541364
295,2820,246.541364
296,2828,246.541364
297,2836,246.541364
298,2844,246.541364
299,2851,246.541364
300,2859,246.541364
301,2867,246.541364
302,2875,246.541364
303,2883,246.541364
304,2890,246.541364
305,2898,246.541364
306,2906,246.541364
307,2914,246.541364
308,2921,246.541364
309,2929,246.541364
310,2937,246.541364
311,2945,246.541364
312,2952,246.541364
313,2960,246.541364
314,2968,246.541364
315,2976,246.541364
316,2983,246.541364
317,2991,246.541364
318,2999,246.541364
319,3007,246.541364
320,3014,246.541364
321,3022,246.541364
322,3030,246.541364
323,3038,246.541364
324,3046,246.541364
325,3053,246.541364
326,3061,246.541364
327,3069,246.541364
328,3077,246.541364
329,3084,246.541364
330,3092,246.541364
331,3100,246.541364
332,3108,246.541364
333,3115,246.541364
334,3123,246.541364
335,3131,246.541364
336,3139,246.541364
337,3146,246.541364
338,3154,246.541364
339,3162,246.541364
340,3170,246.541364
341,3177,246.541364
342,3185,246.541364
343,3193,246.541364
344,3201,246.541364
