,speed(RPM),max_torque
0,512,246.8634826
1,520,246.8634826
2,528,246.8634826
3,535,246.8634826
4,543,246.8634826
5,551,246.8634826
6,559,246.8634826
7,567,246.8634826
8,575,246.8634826
9,583,246.8634826
10,591,246.8634826
11,598,246.8634826
12,606,246.8634826
13,614,246.8634826
14,622,246.8634826
15,630,246.8634826
16,638,246.8634826
17,646,246.8634826
18,654,246.8634826
19,661,246.8634826
20,669,246.8634826
21,677,246.8634826
22,685,246.8634826
23,693,246.8634826
24,701,246.8634826
25,709,246.8634826
26,716,246.8634826
27,724,246.8634826
28,732,246.8634826
29,740,246.8634826
30,748,246.8634826
31,756,246.8634826
32,764,246.8634826
33,772,246.8634826
34,779,246.8634826
35,787,246.8634826
36,795,246.8634826
37,803,246.8634826
38,811,246.8634826
39,819,246.8634826
40,827,246.8634826
41,834,246.8634826
42,842,246.8634826
43,850,246.8634826
44,858,246.8634826
45,866,246.8634826
46,874,246.8634826
47,882,246.8634826
48,889,246.8634826
49,897,246.8634826
50,905,246.8634826
51,913,246.8634826
52,921,246.8634826
53,929,246.8634826
54,937,246.8634826
55,944,246.8634826
56,952,246.8634826
57,960,246.8634826
58,968,246.8634826
59,976,246.8634826
60,984,246.8634826
61,992,246.8634826
62,999,246.8634826
63,1007,246.8634826
64,1015,246.8634826
65,1023,246.8634826
66,1031,246.8634826
67,1039,246.8634826
68,1047,246.8634826
69,1054,246.8634826
70,1062,246.8634826
71,1070,246.8634826
72,1078,246.8634826
73,1086,246.8634826
74,1094,246.8634826
75,1102,246.8634826
76,1109,246.8634826
77,1117,246.8634826
78,1125,246.8634826
79,1133,246.8634826
80,1141,246.8634826
81,1149,246.8634826
82,1156,246.8634826
83,1164,246.8634826
84,1172,246.8634826
85,1180,246.8634826
86,1188,246.8634826
87,1196,246.8634826
88,1203,246.8634826
89,1211,246.8634826
90,1219,246.8634826
91,1227,246.8634826
92,1235,246.8634826
93,1243,246.8634826
94,1251,246.8634826
95,1258,246.8634826
96,1266,246.8634826
97,1274,246.8634826
98,1282,246.8634826
99,1290,246.8634826
100,1298,246.8634826
101,1305,246.8634826
102,1313,246.8634826
103,1321,246.8634826
104,1329,246.8634826
105,1337,246.8634826
106,1345,246.8634826
107,1352,246.8634826
108,1360,246.8634826
109,1368,246.8634826
110,1376,246.8634826
111,1384,246.8634826
112,1392,246.8634826
113,1399,246.8634826
114,1407,246.8634826
115,1415,246.8634826
116,1423,246.8634826
117,1431,246.8634826
118,1439,246.8634826
119,1446,246.8634826
120,1454,246.8634826
121,1462,246.8634826
122,1470,246.8634826
123,1478,246.8634826
124,1486,246.8634826
125,1493,246.8634826
126,1501,246.8634826
127,1509,246.8634826
128,1517,246.8634826
129,1525,246.8634826
130,1533,246.8634826
131,1540,246.8634826
132,1548,246.8634826
133,1556,246.8634826
134,1564,246.8634826
135,1572,246.8634826
136,1580,246.8634826
137,1587,246.8634826
138,1595,246.8634826
139,1603,246.8634826
140,1611,246.8634826
141,1619,246.8634826
142,1627,246.8634826
143,1634,246.8634826
144,1642,246.8634826
145,1650,246.8634826
146,1658,246.8634826
147,1666,246.8634826
148,1673,246.8634826
149,1681,246.8634826
150,1689,246.8634826
151,1697,246.8634826
152,1705,246.8634826
153,1713,246.8634826
154,1720,246.8634826
155,1728,246.8634826
156,1736,246.8634826
157,1744,246.8634826
158,1752,246.8634826
159,1759,246.8634826
160,1767,246.8634826
161,1775,246.8634826
162,1783,246.8634826
163,1791,246.8634826
164,1799,246.8634826
165,1806,246.8634826
166,1814,246.8634826
167,1822,246.8634826
168,1830,246.8634826
169,1838,246.8634826
170,1845,246.8634826
171,1853,246.8634826
172,1861,246.8634826
173,1869,246.8634826
174,1877,246.8634826
175,1885,246.8634826
176,1892,246.8634826
177,1900,246.8634826
178,1908,246.8634826
179,1916,246.8634826
180,1924,246.8634826
181,1931,246.8634826
182,1939,246.8634826
183,1947,246.8634826
184,1955,246.8634826
185,1963,246.8634826
186,1970,246.8634826
187,1978,246.8634826
188,1986,246.8634826
189,1994,246.8634826
190,2002,246.8634826
191,2010,246.8634826
192,2017,246.8634826
193,2025,246.8634826
194,2033,246.8634826
195,2041,246.8634826
196,2049,246.8634826
197,2056,246.8634826
198,2064,246.8634826
199,2072,246.8634826
200,2080,246.8634826
201,2088,246.8634826
202,2095,246.8634826
